0,disease_name,description,treatments,causes,severity,specialist,frequency,contagiousness
207,Lambert-Eaton myasthenic syndrome,Lambert-Eaton myasthenic syndrome (LEMS) is a rare condition that affects the signals sent from the nerves to the muscles.,"treatment for lung cancer â€“ if you have lung cancer treating it can significantly improve the symptoms of LEMS
medicine to help nerve signals reach the muscles â€“ commonly used medicines include 34-diaminopyridine and pyridostigmine
medicine to reduce the activity of the immune system (immunosuppressants) â€“ commonly used medicines include steroid tablets (such as prednisolone) azathioprine and methotrexate
plasmapheresis â€“ a procedure to redirect your blood through a machine that filters out the antibodies attacking your nerves
immunoglobulin therapy â€“ injections of antibodies from donated blood that temporarily stop your immune system attacking your nerves
","LEMS is caused by the body's natural defences (the immune system) mistakenly attacking and damaging the nerves.
Normally nerve signals travel down the nerves and stimulate the nerve endings to release a chemical called acetylcholine. This chemical then helps activate the muscles.
If the nerve endings are damaged the amount of acetylcholine they produce decreases which means nerve signals do not reach the muscles properly.
It's not known what triggers the immune system to attack the nerves. It's often associated with lung cancer but can occur in people without cancer.",Severe,Neurologist or Rheumatologist,Rare,No
208,Laryngeal (larynx) cancer,Laryngeal cancer is a type of cancer that affects the larynx (voice box).,"The main treatments for laryngeal cancer are radiotherapy surgery chemotherapy and targeted cancer medicines.
Radiotherapy or surgery to remove the cancerous cells from the larynx can often cure laryngeal cancer if it's diagnosed early.
If the cancer is advanced a combination of surgery to remove part or all of the larynx radiotherapy and chemotherapy can be used.
If you have surgery to remove your larynx you'll no longer be able to speak or breathe in the usual way.
Instead you will breathe through a permanent hole in your neck (stoma) and will need additional treatment and speech and language therapy to help you communicate.
This may include a valve being placed in your throat or using an electrical device you hold against your throat to produce sound.
Read more about treating laryngeal cancer and recovering from laryngeal cancer surgery.
","It's not clear exactly what causes laryngeal cancer but your risk of getting the condition is increased by:
smoking tobacco
regularly drinking large amounts of alcohol
having family members (such as a parent brother sister or child) who have had laryngeal cancer
having an unhealthy diet low in fruit and vegetables
exposure to certain chemicals and substances such as asbestos and coal dust
By adopting a healthy lifestyle including avoiding alcohol and tobacco you can significantly reduce your chances of developing laryngeal cancer.
Read more about the causes of laryngeal cancer and preventing laryngeal cancer.",Severe,Oncologist or Otolaryngologist (ENT Specialist),Common,No
209,Laryngitis,Laryngitis is when your voice box or vocal cords in the throat become irritated or swollen. It usually goes away by itself within 1 to 2 weeks.,"paracetamol or ibuprofen
cough syrup to help with your cough
solutions to gargle or lozenges for the pain
","Laryngitis usually happens when you have an infection from a virus such as cold or flu. A flu vaccination will help prevent you getting flu.
Other things that cause laryngitis include:
allergies to things like dust and fumes
acid from your stomach coming up your throat (acid reflux)
coughing over a long time
clearing your throat all the time",Mild,Otolaryngologist (ENT Specialist) or General Practitioner,Common,No
210,Lazy eye,A lazy eye (amblyopia) is when the vision in 1 eye does not develop properly. Rarely both eyes can be affected.,"wearing glasses to correct your vision
wearing an eye patch over the stronger eye for a few hours a day for several months â€“ these are usually worn with glasses
using eye drops to temporarily blur vision in the stronger eye
",,Mild,Ophthalmologist or Pediatric Ophthalmologist,Common,No
211,Leg cramps,Leg cramps are common usually harmless and only last a short time. They can happen at any time but most people have them at night or when resting.,"stretching exercises
quinine tablets if exercise has not helped
","Leg cramps can sometimes be caused by:
ageing
putting too much strain on muscles during exercise which can be worse in hot or humid weather
pregnancy (usually in the later stage)
certain medicines â€“ for example medicine for lowering cholesterol (statins) or high blood pressure (diuretics)
not drinking enough fluids (dehydration)
liver disease because of drinking too much alcohol
The reason for some cramps is unknown.",Mild,General Practitioner or Rheumatologist,Common,No
212,Legionnaires disease,Legionnaires' disease is a lung infection you can get from inhaling droplets of water from things like air conditioning or hot tubs. It's uncommon but it can be very serious.,"antibiotics given directly into a vein
oxygen through a face mask or tubes in your nose
a machine to help you breathe
","You can get Legionnaires' disease if you breathe in tiny droplets of water containing bacteria that cause the infection.
It's usually caught in places like hotels hospitals or offices where the bacteria have got into the water supply. It's less common to catch it at home.
You can get Legionnaires' disease from things like:
air conditioning systems
humidifiers
spa pools and hot tubs
taps and showers that are not used often
You cannot usually get it from:
drinking water that contains the bacteria
other people with the infection
places like ponds lakes and rivers",Severe,Infectious Disease Specialist or Pulmonologist,Rare,Yes
213,Leptospirosis (Weils disease),Leptospirosis also called Weil's disease is an infection you can get from animals soil or water. It's rare in the UK.,"Leptospirosis can often be treated by your GP. You'll usually be given antibiotic tablets to treat the infection. Most people recover in a few days or weeks.
It's important to finish the course of antibiotics even if you start to feel better.
Take paracetamol or ibuprofen to relieve any aches pains or a high temperature.
If you have severe symptoms you may need to be treated in hospital.
","Leptospirosis is spread in the pee of infected animals most commonly rats mice cows pigs and dogs.
You can get leptospirosis if:
soil or freshwater (such as water from a river canal or lake) that contains infected pee gets in your mouth eyes or a cut usually during activities like kayaking outdoor swimming or fishing
you touch an infected animal's blood or flesh usually from working with animals or animal parts
It's very rare to get leptospirosis from pets other people or bites.",Severe,Infectious Disease Specialist or Nephrologist,Rare,Yes
214,Lichen planus,Lichen planus is a rash that can affect different parts of your body including the inside of your mouth. See a GP if you think you might have it.,"Lichen planus on your skin usually gets better on its own in about 9 to 18 months.
Creams and ointments from a GP can help control the rash and ease itching.
If creams and ointments do not work or you have severe lichen planus steroid tablets or treatment with a special kind of light (light therapy) can help.
Lichen planus in your mouth can last for several years. Mouthwashes and sprays from a GP can help ease symptoms like burning or sore gums.
You cannot catch lichen planus and it does not usually come back once it's cleared up.
",,Mild,Dermatologist or General Practitioner,Common,No
215,Lichen sclerosus,Lichen sclerosus is a skin condition that causes itchy white patches on the genitals or other parts of the body. There's no cure but treatment can help relieve the symptoms.,"Lichen sclerosus cannot be cured but prescription steroid cream usually helps relieve the symptoms.
Unless your doctor tells you otherwise follow the directions on the patient information leaflet that comes with the medicine.
You may need to use the cream regularly for a few months to get your symptoms under control.
If your symptoms keep coming back you may have to keep using it every now and again.
You can get more cream from a GP if you need it.
","The cause of lichen sclerosus is unknown.
It might be caused by your immune system the body's defence against infection mistakenly attacking and damaging your skin.
Lichen sclerosus is not:
contagious â€“ you cannot spread it to other people
caused by poor personal hygiene",Mild,Dermatologist or Gynecologist,Common,No
216,Lipoma,Lipomas are soft fatty lumps that grow under your skin. They're harmless and do not usually need any treatment but it's important to get any lumps checked by a GP.,"Lipomas are harmless and do not usually need to be removed. They would only be removed on the NHS if it was growing or causing symptoms because of where it is.
If you have it removed it may be sent to a laboratory to check it is a lipoma.
You can pay to have a lipoma removed at a private clinic but it may be expensive.
A GP can give you advice about where to get treatment.
",,Mild,General Practitioner or Dermatologist,Common,No
217,Listeriosis,Listeriosis is a rare infection caused by bacteria called listeria. It usually goes away on its own but it can make some people seriously ill.,"For most people listeriosis is mild and gets better in a few days.
You can usually look after yourself at home by resting and drinking plenty of fluids.
If you're at a higher risk of getting seriously ill (for example you're pregnant or have a weakened immune system) you may need antibiotics.
","Listeriosis is usually caused by eating food contaminated with listeria bacteria.
Listeria can contaminate a wide range of foods but most infections are caused by eating chilled ready-to-eat foods such as:
cold cooked sliced meats and cured meats
smoked and cured fish â€“ including in sushi
cooked shellfish
soft mould-ripened cheeses (such as camembert and brie) and blue-veined cheeses
pÃ¢tÃ©
pre-prepared sandwiches and salads
pre-cut fruit (such as pre-packed melon slices)
unpasteurised milk
dairy products made from unpasteurised milk
Information:
These foods do not always contain listeria. If you have eaten them recently you do not need to do anything unless you get symptoms of the infection.
Although it's less common you can also catch listeriosis from:
someone else who has it â€“ for example if you eat food they've handled when they've not washed their hands
close contact with farm animals â€“ especially sheep and cows that are giving birth",Severe,Infectious Disease Specialist or General Practitioner,Rare,Yes
218,Liver disease,There are many different types of liver disease. You can help prevent some of them by maintaining a healthy weight and staying within the recommended alcohol limits if you drink.,"Treatment for liver disease depends on the type you have and how severe it is.
Healthy lifestyle changes can help with some types of liver disease. For example alcohol-related liver disease may improve if you stop drinking alcohol.
Some types of liver disease (such as certain types of hepatitis) may need to be treated with medicine.
If you have severe liver damage and scarring (cirrhosis) you may need a liver transplant.
",,Severe,Hepatologist or Gastroenterologist,Common,No
219,Long QT syndrome,Long QT syndrome is an inherited heart problem that affects how your heart beats. In some people this can cause fainting or fits (seizures).,"Most people with inherited long QT syndrome will need treatment with medicines. Beta blockers such as propranolol or nadolol may be prescribed to help control irregular heartbeats and slow down your heart rate.
If your symptoms are frequent or severe and you have a high risk of having a life-threatening arrhythmia you may need to have a pacemaker or implantable cardioverter defibrillator (ICD) fitted.
In some cases of long QT syndrome surgery may be needed to control the flow of chemicals into the heart. This is known as a sympathectomy.
If medicines are causing long QT syndrome your medicines will be reviewed and an alternative may be prescribed.
","Long QT syndrome is usually caused by a faulty gene inherited from a parent. The abnormal gene affects the heart's electrical activity.
Certain medicines can also trigger long QT syndrome including some types of:
antibiotics
antihistamines
antidepressants
antipsychotics
diuretics
heart medicines
But drug-induced long QT syndrome tends to only affect people who already have a tendency to develop the condition.
For more information see Cardiac Risk in the Young: medicines people with long QT syndrome should avoid.",Severe,Cardiologist or Electrophysiologist,Rare,No
220,Long-sightedness,Long-sightedness is where you find it hard to see things nearby but you can see things far away clearly. Itâ€™s a common condition and wearing glasses or contact lenses can usually correct your vision.,,"Long-sightedness happens when the eyes cannot focus properly.
This can be because of:
the shape of your eye
the shape of the front layer of your eye (the cornea)
the lens inside your eye has become stiffer usually due to aging (presbyopia)
Long-sightedness is often passed on from your parents and cannot be prevented.
It can also be caused by other conditions like diabetes and eye cancer but this is very rare.",Mild,Ophthalmologist or Optometrist,Common,No
221,Low blood pressure (hypotension),Low blood pressure is a reading of less than 90/60mmHg. It does not always cause symptoms but you may need treatment if it does.,"changing medicines or altering your dose if this is the cause
wearing support stockings â€“ this can improve circulation and increase blood pressure
","Your blood pressure can vary depending on the time of day.
What you're doing and how you're feeling can also affect it.
There are many possible causes of low blood pressure. It may be low because you're fit and healthy or you may have inherited it from your parents.
Some people develop low blood pressure as they get older.
It can also be caused by:
being pregnant
some medical conditions such as diabetes
some medicines",Mild,Cardiologist or General Practitioner,Common,No
222,Low blood sugar (hypoglycaemia),Low blood sugar (hypoglycaemia or a hypo) is usually where your blood sugar (glucose) is below 4mmol/L. It needs to be treated quickly to stop it getting worse but you can usually treat it yourself.,"If you have diabetes and get symptoms of low blood sugar (a hypo) or your blood sugar is below 4mmol/L:
If someone has very low blood sugar (a severe hypo) and becomes unconscious:
","If you have diabetes
Diabetes causes high blood sugar (hyperglycaemia). Diabetes medicines treat your condition by lowering your blood sugar but they can sometimes make it go too low.
This is common if you take insulin. It can also happen with some other diabetes medicines such as gliclazide and glimepiride.
You're more likely to get low blood sugar if you:
take too much insulin
have problems with the way you inject insulin such as injecting in the same place too often
miss or delay meals or do not eat enough carbohydrate
do a lot of exercise without eating more carbohydrate or reducing your insulin dose
drink a lot of alcohol particularly without eating
Sometimes it's not clear why it happens.
If you do not have diabetes
It's rare to get low blood sugar if you do not have diabetes. It can sometimes be caused by conditions including:
malnutrition
Addison's disease
a growth (tumour) in your pancreas",Moderate,Endocrinologist or General Practitioner,Common,No
223,Low white blood cell count,A low white blood cell count usually means your body is not making enough white blood cells. It can increase your risk of getting infections.,"to boost your white blood cells
if you've got an infection
","Common causes of a low white blood cell count include:
cancer treatment like radiotherapy and chemotherapy
antipsychotic medicines
medicine for an overactive thyroid
some cancers like leukaemia
infections such as HIV or hepatitis
autoimmune conditions like rheumatoid arthritis
Agranulocytosis and neutropenia are conditions that cause a low white blood cell count.",Severe,Hematologist or Oncologist,Common,No
224,Lupus,Lupus (systemic lupus erythematosus) is a long-term condition that causes joint pain skin rashes and tiredness. There's no cure but symptoms can improve if treatment starts early.,"anti-inflammatory medicines like ibuprofen
hydroxychloroquine for fatigue and skin and joint problems
steroid tablets injections and creams for kidney inflammation and rashes
","Lupus is an autoimmune condition. This means the body's natural defence system (immune system) attacks healthy parts of your body.
It's not contagious.
The causes of lupus are not fully understood. Possible causes include:
viral infection
certain medicines
sunlight
puberty
childbirth
menopause
More women than men get lupus and it's more common in women with an African Caribbean Asian or Chinese background.",Severe,Rheumatologist or Immunologist,Common,No
225,Lyme disease,Lyme disease is a bacterial infection that can be spread to humans by infected ticks. It's usually easier to treat if it's diagnosed early.,"If a GP thinks you might have Lyme disease they'll prescribe a course of antibiotics.
The antibiotics you're given will depend on your symptoms but you may need to take them for up to 28 days. It's important to finish the course even if you start to feel better.
Some people with severe symptoms will be referred to a specialist in hospital so antibiotics can be given directly into a vein.
Most people with Lyme disease get better after antibiotic treatment. This can take months for some people but the symptoms should improve over time.
People with symptoms of Lyme disease that last a long time after treatment may be referred to a specialist in hospital for advice and more blood tests.
Some websites offer tests and treatment for Lyme disease that may not be supported by scientific evidence.
Speak to a doctor for advice before buying tests or treatment online.
",,Severe,Infectious Disease Specialist or Rheumatologist,Common,Yes
226,Lymphoedema,Lymphoedema is a long-term (chronic) condition that causes swelling in the body's tissues. It can affect any part of the body but usually develops in the arms or legs.,"There's no cure for lymphoedema but it's usually possible to control the main symptoms using techniques to minimise fluid build-up and stimulate the flow of fluid through the lymphatic system.
These include wearing compression garments taking good care of your skin moving and exercising regularly having a healthy diet and lifestyle and using specialised massage techniques.
Read more about treating lymphoedema and preventing lymphoedema.
","Lymphoedema is caused by a problem with the lymphatic system a network of vessels and glands spread throughout the body. The main functions of the lymphatic system are helping fight infection and draining excess fluid from tissues.
There are 2 main types of lymphoedema:
primary lymphoedema â€“ caused by faulty genes that affect the development of the lymphatic system; it can develop at any age but usually starts during infancy adolescence or early adulthood
secondary lymphoedema â€“ caused by damage to the lymphatic system or problems with the movement and drainage of fluid in the lymphatic system; it can be the result of a cancer treatment an infection injury inflammation of the limb or a lack of limb movement
Read more about the causes of lymphoedema",Severe,Vascular Surgeon or Lymphologist,Common,No
227,Malaria,Malaria is a serious infection spread by mosquitoes. If it's not diagnosed and treated quickly you can die from it.,"Malaria is an emergency and needs to be treated quickly.
It's treated with antimalarial medicines.
Some people will stay in hospital to have specialist care and treatment.
Malaria can sometimes come back and will need to be treated again if this happens.
","Malaria is caused by being bitten by an infected mosquito. It can take just 1 bite to get it.
The infection is very common in certain parts of the world.
It's found in tropical regions including:
large areas of Africa and Asia
Central and South America
Dominican Republic and Haiti
parts of the Middle East
some Pacific islands
Malaria is not found in the UK and you cannot catch it from another person.",Severe,Infectious Disease Specialist or Tropical Medicine Specialist,Rare,Yes
228,Malignant brain tumour (brain cancer),A malignant brain tumour is a cancerous growth in the brain.,"surgery â€“ a small section of skull is removed and the tumour is cut out before the piece of skull is fixed back in place
radiotherapy â€“ radiation from an external machine is used to kill cancer cells after surgery
chemotherapy â€“ medicine is used to kill cancer cells after surgery or relieve symptoms if the tumour can't be removed
radiosurgery â€“ lots of tiny beams of radiation are aimed at the cancer to kill it if you can't have surgery
carmustine implants (glial wafers) â€“ a new way of giving chemotherapy for some high-grade tumours where implants are inserted into the brain (read more about carmustine implant treatment on Cancer Research UK)
",,Severe,Neurologist or Oncologist,Rare,No
229,Mallet finger,Mallet finger is an injury to the end of the finger causing the tip to bend. It's a common sports injury and is treated using a splint.,"keep the splinted finger dry â€“ the skin inside the splint can be sore if it gets wet
wear the splint for up to 8 weeks only removing it to clean your finger and the splint
","If you think you have mallet finger there are some things you can do while waiting for medical help.
Do
lift your hand up to reduce swelling
take painkillers to help ease the pain
remove any rings from the finger",Mild,Orthopedic Specialist or General Practitioner,Common,No
230,Malnutrition,Malnutrition is a serious condition that happens when your diet does not contain the right amount of nutrients.,"eat ""fortified"" foods that are high in calories and protein
snack between meals
have drinks that contain lots of calories
a feeding tube â€“ this can be either passed down your nose and into your stomach or inserted directly into your stomach through the skin of the tummy
nutrition that's given directly into a vein
","Malnutrition is a common problem that affects millions of people in the UK.
Anyone can become malnourished but it's more common in people who:
have a long-term health conditions that affect appetite weight and/or how well nutrients are absorbed by the gut such as Crohn's disease
have problems swallowing (dysphagia)
are socially isolated have limited mobility or a low income
need extra energy such as people with cystic fibrosis are recovering from a serious injury or burns and those with tremors or shaking hands
People who are 65 years and over are particularly at risk and weight loss is not an inevitable result of old age. Children under the age of five are also at risk.
Read more about the causes of malnutrition.",Severe,Dietitian or General Practitioner,Common,No
231,Mastitis,Mastitis is when your breast becomes swollen hot and painful. ,"A GP will usually prescribe antibiotics if you have mastitis and your symptoms are not getting better.
If you're breastfeeding a very small amount of the antibiotic may go into your breast milk. There is no risk to your baby but it might make them irritable and restless.
If you are breastfeeding and keep getting mastitis it might be due to problems with positioning and attaching.
If you have any breastfeeding problems it's important to ask for help from a midwife health visitor or a breastfeeding specialist as soon as possible.
","Mastitis is common in breastfeeding women as it can be caused by a build-up of milk.
Women who are not breastfeeding can also get mastitis as can men. This can be caused by:
smoking â€“ toxins found in tobacco can damage breast tissue
damage to the nipple such as a piercing or skin condition such as eczema
having a breast implant
having a weakened immune system due to a health condition such as diabetes
shaving or plucking hairs from around your nipples",Mild,General Practitioner or Obstetrician,Common,No
232,Mastocytosis,Mastocytosis is a rare condition caused by an excess number of mast cells gathering in the body's tissues.,"There's no cure for mastocytosis so the aim of treatment is to try to relieve the symptoms.
Treatment options will depend on the type of mastocytosis and the severity of the symptoms.
Mild to moderate cases of cutaneous mastocytosis can be treated with steroid cream (topical corticosteroids) for a short time.
Steroid cream reduces the number of mast cells that can release histamine and trigger swelling (inflammation) in the skin.
Antihistamines can also be used to treat the symptoms of cutaneous or indolent mastocytosis such as red skin and itchiness.
Antihistamines are a type of medicine that block the effects of histamine and are often used to treat allergic conditions.
Read more about treating mastocytosis.
","The cause or causes of mastocytosis are not fully known but there's thought to be an association with a change in genes known as the KIT mutation.
The KIT mutation makes the mast cells more sensitive to the effects of a signalling protein called stem cell factor (SCF).
SCF plays an important role in stimulating the production and survival of certain cells such as blood cells and mast cells inside the bone marrow.  
In very few cases of mastocytosis it appears the KIT mutation is passed down through families. However in most cases the mutation happens for no apparent reason.",Severe,Allergist or Hematologist,Rare,No
233,Mastoiditis,Mastoiditis is a serious infection that affects the mastoid bone behind the ear. It's more common in children and should be diagnosed and treated quickly.,"treatment to drain pus from your ear using a needle or by making a small cut in or behind the ear
surgery to remove part of the mastoid bone (mastoidectomy)
",,Severe,Otolaryngologist (ENT Specialist) or General Practitioner,Rare,No
234,Meningitis,Meningitis is an infection of the protective membranes that surround the brain and spinal cord (meninges).,"antibiotics given directly into a vein
fluids given directly into a vein
oxygen through a face mask
","Meningitis is usually caused by a bacterial or viral infection.
Bacterial meningitis is rarer but more serious than viral meningitis.
Infections that cause meningitis can be spread through:
sneezing
coughing
kissing
Meningitis is usually caught from people who carry these viruses or bacteria in their nose or throat but are not ill themselves.
It can also be caught from someone with meningitis but this is less common.",Severe,Infectious Disease Specialist or Neurologist,Rare,Yes
235,Meniscus tear (knee cartilage damage),A meniscus tear is a common type of damage to cartilage in the knee. The cartilage is found between the bones in the knee joint and protects them when you move. It usually gets damaged because of an injury.,"A meniscus tear can get better on its own without treatment but it can take a while to heal.
Sometimes physiotherapy may be recommended to help reduce pain and improve movement and strength in the knee.
If the damage is severe you may need arthroscopy surgery to repair or remove the damaged cartilage.
",,Moderate,Orthopedic Surgeon or Sports Medicine Specialist,Common,No
236,Mesothelioma,Mesothelioma is a type of cancer that develops in the lining that covers the outer surface of some of the body's organs. It's usually linked to asbestos exposure.,"chemotherapy â€“ this is the main treatment for mesothelioma and involves using medicine to help shrink the cancer
radiotherapy â€“ this involves using high-energy radiation to kill cancer cells; it may be used to slow the cancer down and keep it under control
surgery â€“ an operation to remove the cancerous area can be done if mesothelioma is detected at a very early stage although it's not clear whether surgery is helpful
immunotherapy â€“ this involves using a combination of 2 medicines to help stimulate the immune system to attack cancer cells; immunotherapy cannot cure mesothelioma but it can slow the spread of the disease and prolong lifespan
","Mesothelioma is almost always caused by exposure to asbestos a group of minerals made of microscopic fibres that used to be widely used in construction.
These tiny fibres can easily get in the lungs where they get stuck damaging the lungs over time. 
It usually takes a while for this to cause any obvious problems with mesothelioma typically developing more than 20 years after exposure to asbestos.
The use of asbestos was completely banned in 1999 so the risk of exposure is much lower nowadays. But materials containing asbestos are still found in many older buildings.
Read more about asbestosis.",Severe,Oncologist or Thoracic Surgeon,Rare,No
237,Middle East respiratory syndrome (MERS),Middle East respiratory syndrome coronavirus (also known as MERS or MERS-CoV) is a rare but severe respiratory illness.,"fever
cough
difficulty breathing
diarrhoea and vomiting
avoid contact with camels
avoid raw camel milk and/or camel products
avoid eating or drinking any type of raw milk raw milk products and any food that may be contaminated with animal secretions unless it's been peeled and cleaned and/or thoroughly cooked
",,Severe,Infectious Disease Specialist or Pulmonologist,Rare,Yes
238,Migraine,A migraine usually feels like a very bad headache with a throbbing pain on 1 side. It's common and there are things you can try to help.,"painkillers such as ibuprofen and paracetamol
medicines called triptans
medicines that stop you feeling sick or being sick
","It's not known what causes migraines.
You're more likely to get them if you have a close family member who gets them.
Some people find certain triggers can cause migraines such as:
starting their period
anxiety and depression
stress and tiredness
not eating regularly or skipping meals
too much caffeine
not getting enough exercise
It can help to keep a migraine diary to help you work out what might trigger your migraines.",Moderate,Neurologist or Headache Specialist,Common,No
239,Motion sickness,Motion sickness is feeling dizzy or feeling or being sick when travelling by car boat plane or train. You can do things to prevent it or relieve the symptoms.,"tablets â€“ dissolvable tablets are available for children
patches â€“ can be used by adults and children over 10
acupressure bands â€“ these do not work for everyone
","Motion sickness is caused by repeated movements when travelling like going over bumps in a car or moving up and down in a boat plane or train.
The inner ear sends different signals to your brain from those your eyes are seeing. These confusing messages cause you to feel unwell.",Mild,General Practitioner or Otolaryngologist (ENT Specialist),Common,No
240,Motor neurone disease,Motor neurone disease (MND) is an uncommon condition that affects the brain and nerves. It causes weakness that gets worse over time.,"highly specialised clinics typically involving a specialist nurse and occupational therapy to help make everyday tasks easier
physiotherapy and exercises to maintain strength and reduce stiffness
advice from a speech and language therapist
advice from a dietitian about diet and eating
a medicine called riluzole that can slightly slow down the progression of the condition
medicines to relieve muscle stiffness and help with saliva problems
emotional support for you and your carer
","Motor neurone disease is an uncommon condition that mainly affects people in their 60s and 70s but it can affect adults of all ages.
It's caused by a problem with cells in the brain and nerves called motor neurones.
These cells gradually stop working over time. It's not known why this happens.
Having a close relative with motor neurone disease or a related condition called frontotemporal dementia can sometimes mean you're more likely to get it.
But it does not run in families in most cases.",Severe,Neurologist or Physiatrist,Rare,No
241,Mpox,Mpox (previously known as monkeypox) is a rare infection most commonly found in west or central Africa. There has recently been an increase in cases in the UK but the risk of catching it is low.,"older people
young children
people with a condition or who are taking a medicine that affects their immune system
","Mpox can be passed on from person to person through:
any close physical contact with mpox blisters or scabs (including during sexual contact kissing cuddling or holding hands)
touching clothing bedding or towels used by someone with mpox
the coughs or sneezes of a person with mpox when they're close to you
In parts of west and central Africa mpox can also be caught from infected rodents (such as rats mice and squirrels) if:
you're bitten
you touch their fur skin blood body fluids spots blisters or scabs
you eat their meat and it has not been cooked thoroughly",Severe,Infectious Disease Specialist or General Practitioner,Rare,Yes
242,MRSA,MRSA is a type of bacteria that usually lives harmlessly on the skin. But if it gets inside the body it can cause a serious infection that needs immediate treatment with antibiotics.,"MRSA can be treated with antibiotics.
Antibiotic tablets can be used for mild MRSA infections.
More serious infections may need to be treated in hospital with antibiotics given by injection or a drip into a vein in your arm.
You may need antibiotics for a few days or up to a few months depending on how serious the infection is.
If you get complications you may need further treatment such as surgery to drain a build-up of pus (abscess).
","MRSA usually lives harmlessly on the skin and mainly spreads through touch.
This can happen if you touch a person with MRSA or something theyâ€™ve touched.
MRSA will only cause an infection if it spreads inside the body.
MRSA infections can affect anyone but you may be more at risk if you:
have long stays in hospital (especially if youâ€™re being treated for a serious condition)
have a break or opening in your skin for example for a drip into a vein a cut from surgery a serious burn or wound or other damage to your skin
have a weakened immune system (for example because of a condition such as HIV or treatment such as chemotherapy)",Severe,Infectious Disease Specialist or General Practitioner,Rare,Yes
243,Mucositis,Mucositis is when your mouth or gut is sore and inflamed. It's a common side effect of chemotherapy and radiotherapy. Although mucositis can be painful it usually gets better a few weeks after finishing cancer treatment.,"painkillers which may be tablets mouthwashes gels or sprays
mouthwashes that clean numb and protect your mouth
sprays or gels to keep your mouth moist (saliva substitutes)
relax your gut if you have stomach cramps or bloating
ease pain and reduce stomach acid
stop diarrhoea or reduce soreness inside your bottom (rectum)
",,Severe,Oncologist or Hematologist,Common,No
244,Multiple myeloma,Multiple myeloma also known as myeloma is a type of bone marrow cancer. Bone marrow is the spongy tissue at the centre of some bones that produces the body's blood cells.,"anti-myeloma medicines to destroy the myeloma cells or control the cancer when it comes back (relapses)
medicines and procedures to prevent and treat problems caused by myeloma â€“ such as bone pain fractures and anaemia
","It's not known exactly what causes multiple myeloma. However there is a close link between multiple myeloma and a condition called monoclonal gammopathy of unknown significance (MGUS).
MGUS is where there is an excess of protein molecules called immunoglobulins in your blood. This doesn't cause any symptoms and doesn't need treatment.
Every year around 1 in every 100 people with MGUS go on to develop multiple myeloma.
There is no known way to delay or prevent this so people with MGUS will have regular tests to check for cancer.
Multiple myeloma is also more common in:
men
adults over 60 â€“ most cases are diagnosed at around the age of 70 and cases affecting people under the age of 40 are rare
black people â€“ multiple myeloma is about twice as common in black populations than white and Asian populations
people with a family history of MGUS or multiple myeloma",Severe,Hematologist or Oncologist,Common,No
245,Multiple sclerosis,Multiple sclerosis (MS) is a condition that can affect the brain and spinal cord causing a wide range of potential symptoms including problems with vision arm or leg movement sensation or balance.,"treating relapses with short courses of steroid medicine to speed up recovery
specific treatments for individual MS symptoms
treatment to reduce the number of relapses using medicines called disease-modifying therapies
","MS is an autoimmune condition. This is when something goes wrong with the immune system and it mistakenly attacks a healthy part of the body â€“ in this case the brain or spinal cord of the nervous system.
In MS the immune system attacks the layer that surrounds and protects the nerves called the myelin sheath.
This damages and scars the sheath and potentially the underlying nerves meaning that messages travelling along the nerves become slowed or disrupted.
Exactly what causes the immune system to act in this way is unclear but most experts think a combination of genetic and environmental factors is involved.",Severe,Neurologist,Common,No
246,Multiple system atrophy,Multiple system atrophy (MSA) is a rare condition of the nervous system that causes gradual damage to nerve cells in the brain.,"low blood pressure
constipation
urinary incontinence
swallowing problems
","The causes of MSA are not well understood.
It does not appear to be inherited â€“ there's no evidence that an affected person's children will develop it.
Research is looking at whether family history and the environment play a role in your chances of getting MSA.
The brain cells of a person with MSA contain a protein called alpha-synuclein. A build-up of abnormal alpha-synuclein is thought to be responsible for damaging areas of the brain that control balance movement and the body's normal functions.",Severe,Neurologist or Movement Disorder Specialist,Rare,No
247,Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS),Myalgic encephalomyelitis also called chronic fatigue syndrome or ME/CFS is a long-term condition with a wide range of symptoms. The most common symptom is extreme tiredness.,"cognitive behavioural therapy (CBT)
energy management â€“ where you're given advice about how to make best use of the energy you have without making your symptoms worse
medicine to control symptoms such as pain and sleeping problems
","It's not known what causes ME/CFS but there are a number of theories â€“ for example it may be triggered by an infection or certain factors could make you more likely to develop the illness.
Suggested causes or triggers for ME/CFS include:
viral infections such as glandular fever
bacterial infections such as pneumonia
problems with the immune system
a hormone imbalance
your genes â€“ ME/CFS seems to be more common in some families",Severe,Rheumatologist or General Practitioner,Common,No
